"","symbol","country"
"1","DDD","US"
"2","MMM","US"
"3","WBAI","China"
"4","WUBA","China"
"5","EGHT","US"
"6","AOS","US"
"7","ATEN","US"
"8","AAC","US"
"9","AIR","US"
"10","AAN","US"
"11","ABB","Switzerland"
"12","ABT","US"
"13","ABBV","US"
"14","ANF","US"
"15","GCH","US"
"16","JEQ","US"
"17","SGF","US"
"18","ABM","US"
"19","AKR","US"
"20","ACN","Ireland"
"21","ACCO","US"
"22","ATV","China"
"23","ATU","US"
"24","GOLF","US"
"25","AYI","US"
"26","ADX","US"
"27","AGRO","Argentina"
"28","ADPT","US"
"29","ADNT","Ireland"
"30","AAP","US"
"31","ADSW","US"
"32","WMS","US"
"33","ASX","Taiwan"
"34","APFH","US"
"35","ASIX","US"
"36","AAV","Canada"
"37","AVK","US"
"38","AGC","US"
"39","LCM","US"
"40","ACM","US"
"41","ANW","Greece"
"42","AEG","Netherlands"
"43","AEB","Netherlands"
"44","AED","Netherlands"
"45","AEH","Netherlands"
"46","AEK","Netherlands"
"47","AER","Ireland"
"48","HIVE","US"
"49","AJRD","US"
"50","AES","US"
"51","AES.PRC","US"
"52","AET","US"
"53","AMG","US"
"54","MGR","US"
"55","AFL","US"
"56","AFSD","US"
"57","MITT","US"
"58","MITT.PRA","US"
"59","MITT.PRB","US"
"60","AGCO","US"
"61","A","US"
"62","AEM","Canada"
"63","ADC","US"
"64","AGU","Canada"
"65","AHC","US"
"66","AL","US"
"67","APD","US"
"68","AYR","US"
"69","AKS","US"
"70","ALP.PRO","US"
"71","ALG","US"
"72","AGI","US"
"73","ALK","US"
"74","AIN","US"
"75","ALB","US"
"76","AA","US"
"77","ALR","US"
"78","ALR.PRB","US"
"79","ALEX","US"
"80","ALX","US"
"81","ARE","US"
"82","ARE.PRD","US"
"83","ARE.PRE","US"
"84","AQN","Canada"
"85","BABA","China"
"86","Y","US"
"87","ATI","US"
"88","ALLE","Ireland"
"89","AGN","Ireland"
"90","AGN.PRA","Ireland"
"91","ALE","US"
"92","AKP","US"
"93","ADS","US"
"94","AOI","US"
"95","AWF","US"
"96","AB","US"
"97","AFB","US"
"98","LNT","US"
